trial,mode,storage,status,elapsed_s,nodes,outputs,expected_final_outputs,active_nodes,run_dir
1,baseline,beegfs,success,1653.0,2,7042,140,2,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_1/2node/baseline_beegfs_889360
1,baseline,beegfs,success,717.0,5,7045,140,5,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_1/5node/baseline_beegfs_889361
1,baseline,beegfs,success,452.0,10,7050,140,10,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_1/10node/baseline_beegfs_889362
1,code_dpm,scratch,success,290.0,5,140,140,5,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_1/5node/code_dpm_scratch_889364
1,code_only,tmpfs,success,219.0,10,140,140,10,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_1/10node/code_only_tmpfs_889363
1,dpm_only,scratch,success,298.0,5,140,140,5,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_1/5node/dpm_only_scratch_889365
1,wdd_pair_dpm,scratch,success,284.0,5,140,140,5,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_1/5node/wdd_pair_dpm_scratch_889367
1,wdd_pair_only,scratch,success,213.0,10,140,140,10,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_1/10node/wdd_pair_only_scratch_889366
2,baseline,beegfs,success,1734.0,2,7042,140,2,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_2/2node/baseline_beegfs_889368
2,baseline,beegfs,success,748.0,5,7045,140,5,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_2/5node/baseline_beegfs_889369
2,baseline,beegfs,success,811.0,10,7050,140,10,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/1000Genome/agentic_runs_v3_10chr/runs/1kg10chr_v3_20260626T220420Z/trial_2/10node/baseline_beegfs_889370
