task_id,trial,agent,mode,workflow,status,started_at,finished_at,duration_s,exit_code,error,input_tokens,output_tokens,total_tokens,validation_valid,validation_score,validation_issues,output_exists,output_bytes,output_lines,output_words,model,temperature,seed,max_tokens
trial2__gemini__knowledge__1000genome,2,gemini,knowledge,1000genome,skipped,2026-02-27T05:52:04.805619+00:00,2026-02-27T05:52:04.805659+00:00,0.0,,GEMINI_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_GEMINI_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__gemini__knowledge__1000genome,3,gemini,knowledge,1000genome,skipped,2026-02-27T05:52:04.805763+00:00,2026-02-27T05:52:04.805774+00:00,0.0,,GEMINI_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_GEMINI_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial2__claude__wdd__1000genome,2,claude,wdd,1000genome,skipped,2026-02-27T05:52:04.805822+00:00,2026-02-27T05:52:04.805832+00:00,0.0,,ANTHROPIC_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_CLAUDE_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial2__claude__knowledge__1000genome,2,claude,knowledge,1000genome,skipped,2026-02-27T05:52:04.805882+00:00,2026-02-27T05:52:04.805893+00:00,0.0,,ANTHROPIC_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_CLAUDE_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__claude__wdd__1000genome,3,claude,wdd,1000genome,skipped,2026-02-27T05:52:04.805940+00:00,2026-02-27T05:52:04.805950+00:00,0.0,,ANTHROPIC_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_CLAUDE_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial1__claude__wdd__1000genome,1,claude,wdd,1000genome,skipped,2026-02-27T05:52:04.805998+00:00,2026-02-27T05:52:04.806009+00:00,0.0,,ANTHROPIC_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_CLAUDE_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__gemini__wdd__1000genome,3,gemini,wdd,1000genome,skipped,2026-02-27T05:52:04.806055+00:00,2026-02-27T05:52:04.806066+00:00,0.0,,GEMINI_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_GEMINI_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__claude__knowledge__1000genome,3,claude,knowledge,1000genome,skipped,2026-02-27T05:52:04.806112+00:00,2026-02-27T05:52:04.806122+00:00,0.0,,ANTHROPIC_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_CLAUDE_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial1__gemini__wdd__1000genome,1,gemini,wdd,1000genome,skipped,2026-02-27T05:52:04.806173+00:00,2026-02-27T05:52:04.806184+00:00,0.0,,GEMINI_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_GEMINI_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial2__gemini__wdd__1000genome,2,gemini,wdd,1000genome,skipped,2026-02-27T05:52:04.806230+00:00,2026-02-27T05:52:04.806240+00:00,0.0,,GEMINI_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_GEMINI_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial1__claude__knowledge__1000genome,1,claude,knowledge,1000genome,skipped,2026-02-27T05:52:04.806286+00:00,2026-02-27T05:52:04.806296+00:00,0.0,,ANTHROPIC_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_CLAUDE_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial1__gemini__knowledge__1000genome,1,gemini,knowledge,1000genome,skipped,2026-02-27T05:52:04.806342+00:00,2026-02-27T05:52:04.806352+00:00,0.0,,GEMINI_API_KEY placeholder not replaced,,,,False,0.0,skipped_no_api_key,False,0,0,0,<SET_GEMINI_MODEL>,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
