agent,duration_s,error,exit_code,finished_at,input_tokens,max_tokens,mode,model,output_bytes,output_exists,output_lines,output_path,output_tokens,output_words,prompt_path,seed,started_at,status,stderr_log,stdout_log,task_id,temperature,total_tokens,trial,validation_issues,validation_score,validation_valid,workflow
claude,3.783,non-zero exit 1,1,2026-03-09T21:31:16.979362+00:00,,<SET_MAX_TOKENS>,knowledge,sonnet-4.6-default,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-claude-trial2.md,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__claude__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-09T21:31:13.196077+00:00,failed,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__claude__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__claude__knowledge__1000genome.stdout.log,trial2__claude__knowledge__1000genome,<SET_TEMP>,,2,file_missing,0.0,False,1000genome
claude,3.166,non-zero exit 1,1,2026-03-09T21:31:20.148583+00:00,,<SET_MAX_TOKENS>,knowledge,sonnet-4.6-default,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-claude-trial3.md,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__claude__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-09T21:31:16.982296+00:00,failed,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__claude__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__claude__knowledge__1000genome.stdout.log,trial3__claude__knowledge__1000genome,<SET_TEMP>,,3,file_missing,0.0,False,1000genome
opencode,223.495,output_invalid,0,2026-03-09T21:35:03.646798+00:00,,<SET_MAX_TOKENS>,wdd,opencode/minimax-m2.5-free,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-opencode-trial2.yaml,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__opencode__wdd__1000genome.prompt.txt,<SET_SEED>,2026-03-09T21:31:20.151477+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__opencode__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__opencode__wdd__1000genome.stdout.log,trial2__opencode__wdd__1000genome,<SET_TEMP>,,2,file_missing,0.0,False,1000genome
opencode,6.351,output_invalid,0,2026-03-09T21:35:10.000061+00:00,,<SET_MAX_TOKENS>,knowledge,opencode/minimax-m2.5-free,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-opencode-trial2.md,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__opencode__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-09T21:35:03.649240+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__opencode__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__opencode__knowledge__1000genome.stdout.log,trial2__opencode__knowledge__1000genome,<SET_TEMP>,,2,file_missing,0.0,False,1000genome
opencode,40.252,output_invalid,0,2026-03-09T21:35:50.254990+00:00,,<SET_MAX_TOKENS>,wdd,opencode/minimax-m2.5-free,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-opencode-trial3.yaml,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__opencode__wdd__1000genome.prompt.txt,<SET_SEED>,2026-03-09T21:35:10.003324+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__opencode__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__opencode__wdd__1000genome.stdout.log,trial3__opencode__wdd__1000genome,<SET_TEMP>,,3,file_missing,0.0,False,1000genome
opencode,306.014,,0,2026-03-09T21:40:56.272208+00:00,,<SET_MAX_TOKENS>,wdd,opencode/minimax-m2.5-free,25741,True,612,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-opencode-trial1.yaml,,2324,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial1__opencode__wdd__1000genome.prompt.txt,<SET_SEED>,2026-03-09T21:35:50.257955+00:00,ok,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial1__opencode__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial1__opencode__wdd__1000genome.stdout.log,trial1__opencode__wdd__1000genome,<SET_TEMP>,,1,,1.0,True,1000genome
claude,3.393,non-zero exit 1,1,2026-03-09T21:40:59.874244+00:00,,<SET_MAX_TOKENS>,wdd,sonnet-4.6-default,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial3.yaml,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__claude__wdd__1000genome.prompt.txt,<SET_SEED>,2026-03-09T21:40:56.481410+00:00,failed,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__claude__wdd__1000genome.stdout.log,trial3__claude__wdd__1000genome,<SET_TEMP>,,3,file_missing,0.0,False,1000genome
opencode,10.523,output_invalid,0,2026-03-09T21:41:10.400762+00:00,,<SET_MAX_TOKENS>,knowledge,opencode/minimax-m2.5-free,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-opencode-trial3.md,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__opencode__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-03-09T21:40:59.877517+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__opencode__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial3__opencode__knowledge__1000genome.stdout.log,trial3__opencode__knowledge__1000genome,<SET_TEMP>,,3,file_missing,0.0,False,1000genome
claude,3.213,non-zero exit 1,1,2026-03-09T21:41:13.617222+00:00,,<SET_MAX_TOKENS>,wdd,sonnet-4.6-default,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial1.yaml,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial1__claude__wdd__1000genome.prompt.txt,<SET_SEED>,2026-03-09T21:41:10.403828+00:00,failed,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial1__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial1__claude__wdd__1000genome.stdout.log,trial1__claude__wdd__1000genome,<SET_TEMP>,,1,file_missing,0.0,False,1000genome
claude,3.216,non-zero exit 1,1,2026-03-09T21:41:16.836224+00:00,,<SET_MAX_TOKENS>,wdd,sonnet-4.6-default,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial2.yaml,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__claude__wdd__1000genome.prompt.txt,<SET_SEED>,2026-03-09T21:41:13.620099+00:00,failed,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260309-163113/trial2__claude__wdd__1000genome.stdout.log,trial2__claude__wdd__1000genome,<SET_TEMP>,,2,file_missing,0.0,False,1000genome
