task_id,trial,agent,mode,workflow,status,started_at,finished_at,duration_s,exit_code,error,prompt_path,stdout_log,stderr_log,output_path,input_tokens,output_tokens,total_tokens,validation_valid,validation_score,validation_issues,output_exists,output_bytes,output_lines,output_words,model,temperature,seed,max_tokens
trial2__gemini__knowledge__1000genome,2,gemini,knowledge,1000genome,ok,2026-02-27T21:14:31.535653+00:00,2026-02-27T21:16:53.869431+00:00,142.334,0,,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__gemini__knowledge__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__gemini__knowledge__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__gemini__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-gemini-trial2.md,,,,True,0.86,,True,4080,64,515,gemini-2.5-flash,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__gemini__knowledge__1000genome,3,gemini,knowledge,1000genome,ok,2026-02-27T21:16:53.874171+00:00,2026-02-27T21:18:13.370396+00:00,79.496,0,,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__gemini__knowledge__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__gemini__knowledge__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__gemini__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-gemini-trial3.md,,,,True,0.86,,True,5491,101,652,gemini-2.5-flash,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial2__claude__wdd__1000genome,2,claude,wdd,1000genome,failed,2026-02-27T21:18:13.373942+00:00,2026-02-27T21:18:16.694414+00:00,3.32,1,non-zero exit 1,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__claude__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__claude__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial2.yaml,,,,False,0.2,yaml_parse_error:No module named 'yaml',True,145,1,6,sonnet-4.6-default,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial2__claude__knowledge__1000genome,2,claude,knowledge,1000genome,failed,2026-02-27T21:18:16.699251+00:00,2026-02-27T21:18:20.612623+00:00,3.913,1,non-zero exit 1,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__claude__knowledge__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__claude__knowledge__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__claude__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-claude-trial2.md,,,,False,0.0,file_missing,False,0,0,0,sonnet-4.6-default,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__claude__wdd__1000genome,3,claude,wdd,1000genome,failed,2026-02-27T21:18:20.615590+00:00,2026-02-27T21:18:24.027140+00:00,3.412,1,non-zero exit 1,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__claude__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__claude__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial3.yaml,,,,False,0.0,file_missing,False,0,0,0,sonnet-4.6-default,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial1__claude__wdd__1000genome,1,claude,wdd,1000genome,failed,2026-02-27T21:18:24.030156+00:00,2026-02-27T21:18:27.581849+00:00,3.552,1,non-zero exit 1,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial1__claude__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial1__claude__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial1__claude__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-claude-trial1.yaml,,,,False,0.0,file_missing,False,0,0,0,sonnet-4.6-default,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__gemini__wdd__1000genome,3,gemini,wdd,1000genome,failed_validation,2026-02-27T21:18:27.584981+00:00,2026-02-27T21:22:48.972779+00:00,261.388,0,output_invalid,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__gemini__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__gemini__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__gemini__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-gemini-trial3.yaml,,,,False,0.2,yaml_parse_error:No module named 'yaml',True,59346,1211,4978,gemini-2.5-flash,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial3__claude__knowledge__1000genome,3,claude,knowledge,1000genome,failed,2026-02-27T21:22:48.982479+00:00,2026-02-27T21:22:52.758496+00:00,3.776,1,non-zero exit 1,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__claude__knowledge__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__claude__knowledge__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial3__claude__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-claude-trial3.md,,,,False,0.0,file_missing,False,0,0,0,sonnet-4.6-default,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial1__gemini__wdd__1000genome,1,gemini,wdd,1000genome,failed_validation,2026-02-27T21:22:52.762159+00:00,2026-02-27T21:25:24.858019+00:00,152.096,0,output_invalid,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial1__gemini__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial1__gemini__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial1__gemini__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-gemini-trial1.yaml,,,,False,0.2,yaml_parse_error:No module named 'yaml',True,37154,851,3265,gemini-2.5-flash,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
trial2__gemini__wdd__1000genome,2,gemini,wdd,1000genome,failed_validation,2026-02-27T21:25:24.865242+00:00,2026-02-27T21:31:26.423877+00:00,361.559,0,output_invalid,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__gemini__wdd__1000genome.prompt.txt,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__gemini__wdd__1000genome.stdout.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-151431/trial2__gemini__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-gemini-trial2.yaml,,,,False,0.2,yaml_parse_error:No module named 'yaml',True,50873,870,4378,gemini-2.5-flash,<SET_TEMP>,<SET_SEED>,<SET_MAX_TOKENS>
