agent,duration_s,error,exit_code,finished_at,input_tokens,max_tokens,mode,model,output_bytes,output_exists,output_lines,output_path,output_tokens,output_words,prompt_path,seed,started_at,status,stderr_log,stdout_log,task_id,temperature,total_tokens,trial,validation_issues,validation_score,validation_valid,workflow
gemini,115.401,,0,2026-02-27T22:31:25.260759+00:00,167782,<SET_MAX_TOKENS>,knowledge,gemini-2.5-flash,4080,True,64,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-gemini-trial2.md,12710,515,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__gemini__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-02-27T22:29:29.859926+00:00,ok,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__gemini__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__gemini__knowledge__1000genome.stdout.log,trial2__gemini__knowledge__1000genome,<SET_TEMP>,187566,2,,0.86,True,1000genome
gemini,101.459,,0,2026-02-27T22:33:06.723058+00:00,181124,<SET_MAX_TOKENS>,knowledge,gemini-2.5-flash,5491,True,101,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-gemini-trial3.md,14162,652,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__gemini__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-02-27T22:31:25.264487+00:00,ok,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__gemini__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__gemini__knowledge__1000genome.stdout.log,trial3__gemini__knowledge__1000genome,<SET_TEMP>,198119,3,,0.86,True,1000genome
opencode,2.919,output_invalid,0,2026-02-27T22:33:09.646272+00:00,,<SET_MAX_TOKENS>,wdd,opencode/minimax-m2.5-free,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-opencode-trial2.yaml,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__opencode__wdd__1000genome.prompt.txt,<SET_SEED>,2026-02-27T22:33:06.727369+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__opencode__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__opencode__wdd__1000genome.stdout.log,trial2__opencode__wdd__1000genome,<SET_TEMP>,,2,file_missing,0.0,False,1000genome
opencode,2.852,output_invalid,0,2026-02-27T22:33:12.501464+00:00,,<SET_MAX_TOKENS>,knowledge,opencode/minimax-m2.5-free,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-opencode-trial2.md,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__opencode__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-02-27T22:33:09.649523+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__opencode__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__opencode__knowledge__1000genome.stdout.log,trial2__opencode__knowledge__1000genome,<SET_TEMP>,,2,file_missing,0.0,False,1000genome
opencode,2.876,output_invalid,0,2026-02-27T22:33:15.380428+00:00,,<SET_MAX_TOKENS>,wdd,opencode/minimax-m2.5-free,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-opencode-trial3.yaml,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__opencode__wdd__1000genome.prompt.txt,<SET_SEED>,2026-02-27T22:33:12.504812+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__opencode__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__opencode__wdd__1000genome.stdout.log,trial3__opencode__wdd__1000genome,<SET_TEMP>,,3,file_missing,0.0,False,1000genome
opencode,2.955,output_invalid,0,2026-02-27T22:33:18.338613+00:00,,<SET_MAX_TOKENS>,wdd,opencode/minimax-m2.5-free,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-opencode-trial1.yaml,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial1__opencode__wdd__1000genome.prompt.txt,<SET_SEED>,2026-02-27T22:33:15.383849+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial1__opencode__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial1__opencode__wdd__1000genome.stdout.log,trial1__opencode__wdd__1000genome,<SET_TEMP>,,1,file_missing,0.0,False,1000genome
gemini,74.312,non-zero exit 1,1,2026-02-27T22:34:32.653411+00:00,,<SET_MAX_TOKENS>,wdd,gemini-2.5-flash,59346,True,1211,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-gemini-trial3.yaml,,4978,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__gemini__wdd__1000genome.prompt.txt,<SET_SEED>,2026-02-27T22:33:18.341071+00:00,failed,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__gemini__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__gemini__wdd__1000genome.stdout.log,trial3__gemini__wdd__1000genome,<SET_TEMP>,,3,,1.0,True,1000genome
opencode,2.607,output_invalid,0,2026-02-27T22:34:35.695560+00:00,,<SET_MAX_TOKENS>,knowledge,opencode/minimax-m2.5-free,0,False,0,/home/mtang11/scripts/workflow-representation-description/workflow_knowledge/1000genome-knowledge-opencode-trial3.md,,0,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__opencode__knowledge__1000genome.prompt.txt,<SET_SEED>,2026-02-27T22:34:33.088441+00:00,failed_validation,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__opencode__knowledge__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial3__opencode__knowledge__1000genome.stdout.log,trial3__opencode__knowledge__1000genome,<SET_TEMP>,,3,file_missing,0.0,False,1000genome
gemini,170.699,,0,2026-02-27T22:37:26.398324+00:00,556516,<SET_MAX_TOKENS>,wdd,gemini-2.5-flash,37154,True,851,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-gemini-trial1.yaml,17048,3265,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial1__gemini__wdd__1000genome.prompt.txt,<SET_SEED>,2026-02-27T22:34:35.698805+00:00,ok,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial1__gemini__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial1__gemini__wdd__1000genome.stdout.log,trial1__gemini__wdd__1000genome,<SET_TEMP>,581987,1,,1.0,True,1000genome
gemini,144.872,,0,2026-02-27T22:39:51.553473+00:00,575973,<SET_MAX_TOKENS>,wdd,gemini-2.5-flash,50873,True,870,/home/mtang11/scripts/workflow-representation-description/workflow_wdd/1000genome-wdd-gemini-trial2.yaml,1443,4378,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__gemini__wdd__1000genome.prompt.txt,<SET_SEED>,2026-02-27T22:37:26.681351+00:00,ok,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__gemini__wdd__1000genome.stderr.log,/home/mtang11/scripts/workflow-representation-description/evaluation_runs/20260227-162929/trial2__gemini__wdd__1000genome.stdout.log,trial2__gemini__wdd__1000genome,<SET_TEMP>,592030,2,,1.0,True,1000genome
