mode,storage,nodes,successful_trials,mean_deployment_runtime_s,std_deployment_runtime_s,mean_stage_s,mean_exec_s,mean_validation_s
baseline,beegfs,30,3,24.00,20.88,0.00,24.00,6.00
baseline,beegfs,60,3,19.00,2.65,0.00,19.00,10.67
baseline,beegfs,120,3,49.00,32.70,0.00,49.00,32.00
code_only,beegfs,30,3,198.33,165.30,0.00,198.33,21.67
code_only,scratch,30,3,9.00,2.00,6.67,2.33,11.33
code_only,tmpfs,30,3,6.67,0.58,4.00,2.67,11.00
code_only,beegfs,60,3,70.33,75.75,0.00,70.33,20.67
code_only,scratch,60,3,5.67,2.08,4.00,1.67,5.67
code_only,tmpfs,60,3,4.00,1.00,2.33,1.67,5.67
code_only,beegfs,120,3,12.67,2.52,0.00,12.67,7.33
code_only,scratch,120,3,3.67,1.15,2.67,1.00,4.00
code_only,tmpfs,120,3,2.67,0.58,1.67,1.00,3.00
wdd_only,beegfs,30,3,137.33,133.15,0.00,137.33,44.33
wdd_only,scratch,30,3,8.00,1.00,5.33,2.67,11.00
wdd_only,tmpfs,30,3,6.67,0.58,4.00,2.67,11.00
wdd_only,beegfs,60,3,11.67,4.62,0.00,11.67,13.67
wdd_only,scratch,60,3,5.00,0.00,3.00,2.00,5.33
wdd_only,tmpfs,60,3,9.33,7.51,7.33,2.00,11.00
wdd_only,beegfs,120,3,34.33,40.41,0.00,34.33,15.33
wdd_only,scratch,120,3,4.00,1.00,3.00,1.00,3.33
wdd_only,tmpfs,120,3,3.33,0.58,2.33,1.00,3.00
wdd_dpm,beegfs,30,3,12.00,3.61,0.00,12.00,20.00
wdd_dpm,scratch,30,3,7.33,0.58,4.67,2.67,11.00
wdd_dpm,tmpfs,30,3,8.00,1.00,5.00,3.00,11.33
wdd_dpm,beegfs,60,3,16.67,1.15,0.00,16.67,17.00
wdd_dpm,scratch,60,3,5.00,0.00,3.00,2.00,6.00
wdd_dpm,tmpfs,60,3,3.67,0.58,2.00,1.67,5.33
wdd_dpm,beegfs,120,3,58.00,38.57,0.00,58.00,14.33
wdd_dpm,scratch,120,3,4.33,0.58,3.33,1.00,3.33
wdd_dpm,tmpfs,120,3,3.00,0.00,2.00,1.00,3.00
