trial,setup,nodes,mode,storage,job_dir,rc,elapsed_s,stage_s,exec_s,deployment_runtime_s,validation_s,outputs,area_outputs,failures,mismatches,passed,timing_log
1,baseline_best_beegfs,30,baseline,beegfs,baseline_857775,0,17,0,10,10,6,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/baseline_857775/timing.log
1,code_only,120,code_only,tmpfs,code_only_857798,0,10,2,1,3,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/code_only_857798/timing.log
1,wdd_only,120,wdd_only,tmpfs,wdd_only_857801,0,10,2,1,3,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/wdd_only_857801/timing.log
1,wdd_dpm,120,wdd_dpm,tmpfs,wdd_dpm_857804,0,10,2,1,3,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/wdd_dpm_857804/timing.log
2,baseline_best_beegfs,60,baseline,beegfs,baseline_857816,0,27,0,22,22,12,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_2/60node/baseline_857816/timing.log
2,code_only,120,code_only,tmpfs,code_only_857829,0,11,1,1,2,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_2/120node/code_only_857829/timing.log
2,wdd_only,120,wdd_only,tmpfs,wdd_only_857832,0,11,2,1,3,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_2/120node/wdd_only_857832/timing.log
2,wdd_dpm,120,wdd_dpm,tmpfs,wdd_dpm_857835,0,10,2,1,3,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_2/120node/wdd_dpm_857835/timing.log
3,baseline_best_beegfs,30,baseline,beegfs,baseline_857837,0,20,0,14,14,7,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_3/30node/baseline_857837/timing.log
3,code_only,120,code_only,scratch,code_only_857859,0,13,2,1,3,6,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_3/120node/code_only_857859/timing.log
3,wdd_only,120,wdd_only,scratch,wdd_only_857862,0,11,2,1,3,4,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_3/120node/wdd_only_857862/timing.log
3,wdd_dpm,120,wdd_dpm,tmpfs,wdd_dpm_857866,0,11,2,1,3,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_3/120node/wdd_dpm_857866/timing.log
