mode,storage,nodes,successful_trials,mean_deployment_runtime_s,std_deployment_runtime_s,mean_stage_s,mean_exec_s,mean_validation_s
baseline,beegfs,30,3,111.33,73.66,0.00,111.33,35.00
baseline,beegfs,60,3,317.67,502.82,0.00,317.67,188.33
baseline,beegfs,120,3,81.00,63.22,0.00,81.00,11.67
code_dpm,beegfs,30,3,155.00,222.57,0.00,155.00,29.33
code_dpm,scratch,30,3,15.00,8.72,12.00,3.00,22.33
code_dpm,tmpfs,30,3,10.33,1.53,7.33,3.00,14.33
code_dpm,beegfs,60,3,26.33,28.31,0.00,26.33,18.33
code_dpm,scratch,60,3,4.67,0.58,2.67,2.00,11.67
code_dpm,tmpfs,60,3,3.67,0.58,2.00,1.67,7.00
code_dpm,beegfs,120,3,39.67,17.93,0.00,39.67,28.00
code_dpm,scratch,120,3,17.33,19.73,16.33,1.00,25.33
code_dpm,tmpfs,120,3,16.00,21.66,15.00,1.00,22.00
dpm_only,beegfs,30,3,154.00,249.42,0.00,154.00,66.00
dpm_only,scratch,30,3,17.67,15.89,14.67,3.00,26.00
dpm_only,tmpfs,30,3,13.67,8.96,10.67,3.00,21.67
dpm_only,beegfs,60,3,225.00,350.93,0.00,225.00,81.67
dpm_only,scratch,60,3,22.67,15.95,20.67,2.00,18.67
dpm_only,tmpfs,60,3,10.33,9.24,8.33,2.00,16.67
dpm_only,beegfs,120,3,215.67,350.18,0.00,215.67,103.00
dpm_only,scratch,120,3,31.00,25.24,30.00,1.00,26.00
dpm_only,tmpfs,120,3,12.33,11.85,11.33,1.00,7.67
