trial,nodes,mode,storage,job_dir,rc,elapsed_s,stage_s,exec_s,deployment_runtime_s,validation_s,outputs,area_outputs,failures,mismatches,passed,timing_log
1,120,baseline,beegfs,baseline_863067,0,164,0,154,154,5,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_1/120node/baseline_863067/timing.log
1,120,code_dpm,beegfs,code_dpm_863068,0,30,0,19,19,5,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_1/120node/code_dpm_863068/timing.log
1,120,code_dpm,scratch,code_dpm_863069,0,25,3,1,4,17,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_1/120node/code_dpm_863069/timing.log
1,120,code_dpm,tmpfs,code_dpm_863070,0,20,2,1,3,12,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_1/120node/code_dpm_863070/timing.log
1,120,dpm_only,beegfs,dpm_only_863071,0,28,0,10,10,18,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_1/120node/dpm_only_863071/timing.log
1,120,dpm_only,scratch,dpm_only_863072,0,14,2,1,3,8,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_1/120node/dpm_only_863072/timing.log
1,120,dpm_only,tmpfs,dpm_only_863073,0,16,4,1,5,8,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_1/120node/dpm_only_863073/timing.log
1,30,baseline,beegfs,baseline_863053,0,43,0,35,35,8,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_1/30node/baseline_863053/timing.log
1,30,code_dpm,beegfs,code_dpm_863054,0,51,0,26,26,24,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_1/30node/code_dpm_863054/timing.log
1,30,code_dpm,scratch,code_dpm_863055,0,34,8,3,11,23,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_dpmablation_3trial_20260619T211704Z/trial_1/30node/code_dpm_863055/timing.log
