mode,storage,nodes,successful_trials,mean_deployment_runtime_s,std_deployment_runtime_s,mean_stage_s,mean_exec_s,mean_validation_s
baseline,beegfs,30,3,263.67,393.47,0.00,263.67,30.00
baseline,beegfs,60,3,61.00,40.29,0.00,61.00,16.33
baseline,beegfs,120,3,43.33,42.19,0.00,43.33,16.33
wdd_full_only,beegfs,30,3,43.67,19.22,0.00,43.67,21.00
wdd_full_only,scratch,30,3,60.00,52.51,57.00,3.00,116.67
wdd_full_only,tmpfs,30,3,54.33,52.99,51.67,2.67,65.33
wdd_full_only,beegfs,60,3,85.33,58.02,0.00,85.33,27.00
wdd_full_only,scratch,60,3,24.00,31.19,22.00,2.00,38.33
wdd_full_only,tmpfs,60,3,8.67,8.14,7.00,1.67,16.00
wdd_full_only,beegfs,120,3,28.67,32.33,0.00,28.67,17.67
wdd_full_only,scratch,120,3,16.33,21.36,15.33,1.00,18.00
wdd_full_only,tmpfs,120,3,19.33,24.09,18.33,1.00,24.33
wdd_full_dpm,beegfs,30,3,47.33,37.29,0.00,47.33,107.33
wdd_full_dpm,scratch,30,3,47.67,41.62,44.67,3.00,60.00
wdd_full_dpm,tmpfs,30,3,23.67,17.01,20.67,3.00,57.33
wdd_full_dpm,beegfs,60,3,79.33,97.08,0.00,79.33,67.67
wdd_full_dpm,scratch,60,3,21.67,28.87,19.67,2.00,33.33
wdd_full_dpm,tmpfs,60,3,20.00,25.98,18.00,2.00,31.67
wdd_full_dpm,beegfs,120,3,81.00,56.82,0.00,81.00,77.67
wdd_full_dpm,scratch,120,3,33.33,26.39,32.33,1.00,36.33
wdd_full_dpm,tmpfs,120,3,19.00,25.16,18.00,1.00,26.67
