trial,nodes,mode,storage,job_dir,rc,elapsed_s,stage_s,exec_s,deployment_runtime_s,validation_s,outputs,area_outputs,failures,mismatches,passed,timing_log
1,120,baseline,beegfs,baseline_862818,0,27,0,21,21,14,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/120node/baseline_862818/timing.log
1,120,wdd_full_dpm,beegfs,wdd_full_dpm_862822,0,40,0,21,21,15,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/120node/wdd_full_dpm_862822/timing.log
1,120,wdd_full_dpm,scratch,wdd_full_dpm_862823,0,13,2,1,3,5,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/120node/wdd_full_dpm_862823/timing.log
1,120,wdd_full_dpm,tmpfs,wdd_full_dpm_862824,0,12,2,1,3,4,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/120node/wdd_full_dpm_862824/timing.log
1,120,wdd_full_only,beegfs,wdd_full_only_862819,0,19,0,10,10,7,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/120node/wdd_full_only_862819/timing.log
1,120,wdd_full_only,scratch,wdd_full_only_862820,0,16,3,1,4,9,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/120node/wdd_full_only_862820/timing.log
1,120,wdd_full_only,tmpfs,wdd_full_only_862821,0,10,2,1,3,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/120node/wdd_full_only_862821/timing.log
1,30,baseline,beegfs,baseline_862804,0,725,0,718,718,73,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/30node/baseline_862804/timing.log
1,30,wdd_full_dpm,beegfs,wdd_full_dpm_862808,0,31,0,13,13,16,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/30node/wdd_full_dpm_862808/timing.log
1,30,wdd_full_dpm,scratch,wdd_full_dpm_862809,0,21,5,3,8,13,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/30node/wdd_full_dpm_862809/timing.log
1,30,wdd_full_dpm,tmpfs,wdd_full_dpm_862810,0,19,4,3,7,11,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/30node/wdd_full_dpm_862810/timing.log
1,30,wdd_full_only,beegfs,wdd_full_only_862805,0,79,0,61,61,17,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/30node/wdd_full_only_862805/timing.log
1,30,wdd_full_only,scratch,wdd_full_only_862806,0,20,5,3,8,11,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/30node/wdd_full_only_862806/timing.log
1,30,wdd_full_only,tmpfs,wdd_full_only_862807,0,19,4,2,6,11,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/30node/wdd_full_only_862807/timing.log
1,60,baseline,beegfs,baseline_862811,0,20,0,15,15,8,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/60node/baseline_862811/timing.log
1,60,wdd_full_dpm,beegfs,wdd_full_dpm_862815,0,215,0,191,191,111,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/60node/wdd_full_dpm_862815/timing.log
1,60,wdd_full_dpm,scratch,wdd_full_dpm_862816,0,13,3,2,5,6,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/60node/wdd_full_dpm_862816/timing.log
1,60,wdd_full_dpm,tmpfs,wdd_full_dpm_862817,0,13,3,2,5,6,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/60node/wdd_full_dpm_862817/timing.log
1,60,wdd_full_only,beegfs,wdd_full_only_862812,0,163,0,151,151,13,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/60node/wdd_full_only_862812/timing.log
1,60,wdd_full_only,scratch,wdd_full_only_862813,0,19,5,2,7,10,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/60node/wdd_full_only_862813/timing.log
1,60,wdd_full_only,tmpfs,wdd_full_only_862814,0,13,2,1,3,6,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_1/60node/wdd_full_only_862814/timing.log
2,120,baseline,beegfs,baseline_862840,0,99,0,92,92,22,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/120node/baseline_862840/timing.log
2,120,wdd_full_dpm,beegfs,wdd_full_dpm_862844,0,166,0,88,88,86,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/120node/wdd_full_dpm_862844/timing.log
2,120,wdd_full_dpm,scratch,wdd_full_dpm_862845,0,107,50,1,51,66,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/120node/wdd_full_dpm_862845/timing.log
2,120,wdd_full_dpm,tmpfs,wdd_full_dpm_862846,0,104,47,1,48,65,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/120node/wdd_full_dpm_862846/timing.log
2,120,wdd_full_only,beegfs,wdd_full_only_862841,0,92,0,66,66,33,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/120node/wdd_full_only_862841/timing.log
2,120,wdd_full_only,scratch,wdd_full_only_862842,0,73,40,1,41,37,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_fullsuite_3trial_20260619T182820Z/trial_2/120node/wdd_full_only_862842/timing.log
